DOW;AUT;ACH;SOI;FACC;IDN4;NM4;IDN3;NM3;IDN2;NM2;VYMERA;NUTS1;NUTS1_CODE;NUTS2;NUTS2_CODE;NUTS3;NUTS3_CODE;LAU1;LAU1_CODE;LAU2;LAU2_CODE
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526894;Matysová;710;Stará ¼ubovòa;7;Prešovský;10430264.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Matysová;SK041A526894
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526908;Mníšek nad Popradom;710;Stará ¼ubovòa;7;Prešovský;17789093.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Mníšek nad Popradom;SK041A526908
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526916;Nižné Ružbachy;710;Stará ¼ubovòa;7;Prešovský;9794111.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Nižné Ružbachy;SK041A526916
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526924;Nová ¼ubovòa;710;Stará ¼ubovòa;7;Prešovský;14433091.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Nová ¼ubovòa;SK041A526924
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526932;Obruèné;710;Stará ¼ubovòa;7;Prešovský;5859634.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Obruèné;SK041A526932
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526941;Orlov;710;Stará ¼ubovòa;7;Prešovský;20771559.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Orlov;SK041A526941
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526959;Plaveè;710;Stará ¼ubovòa;7;Prešovský;16682491.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Plaveè;SK041A526959
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526967;Plavnica;710;Stará ¼ubovòa;7;Prešovský;19608273.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Plavnica;SK041A526967
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526975;Podolínec;710;Stará ¼ubovòa;7;Prešovský;33758500.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Podolínec;SK041A526975
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526983;Pusté Pole;710;Stará ¼ubovòa;7;Prešovský;3239789.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Pusté Pole;SK041A526983
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;526991;Ruská Vo¾a nad Popradom;710;Stará ¼ubovòa;7;Prešovský;6022738.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Ruská Vo¾a nad Popradom;SK041A526991
28.02.2023;GKÚ;Geodetická (< 10 cm);Overený spracovaním;FA004;527009;Starina;710;Stará ¼ubovòa;7;Prešovský;9087911.0;Slovensko;SK0;Východné Slovensko;SK04;Prešovský kraj;SK041;Stará ¼ubovòa;SK041A;Starina;SK041A527009
